CPU,16,300
GPU atomic,16,25200
GPU reduction,16,41200
CPU,32,200
GPU atomic,32,21900
GPU reduction,32,47800
CPU,64,300
GPU atomic,64,31100
GPU reduction,64,58300
CPU,128,400
GPU atomic,128,36600
GPU reduction,128,59800
CPU,256,700
GPU atomic,256,24900
GPU reduction,256,76400
CPU,512,900
GPU atomic,512,27200
GPU reduction,512,67300
CPU,1024,1700
GPU atomic,1024,29100
GPU reduction,1024,72700
CPU,2048,3000
GPU atomic,2048,28700
GPU reduction,2048,77200
CPU,2,100
GPU atomic,2,21500
GPU reduction,2,26700
CPU,4,100
GPU atomic,4,37200
GPU reduction,4,35700
CPU,8,200
GPU atomic,8,24500
GPU reduction,8,37400
CPU,16,200
GPU atomic,16,22600
GPU reduction,16,41400
CPU,32,200
GPU atomic,32,21400
GPU reduction,32,47700
CPU,64,300
GPU atomic,64,20900
GPU reduction,64,52800
CPU,128,500
GPU atomic,128,24200
GPU reduction,128,57700
CPU,256,500
GPU atomic,256,21400
GPU reduction,256,65800
CPU,512,1100
GPU atomic,512,89700
GPU reduction,512,71800
CPU,1024,1700
GPU atomic,1024,61300
GPU reduction,1024,72200
CPU,2048,3100
GPU atomic,2048,25400
GPU reduction,2048,78000
CPU,2,100
GPU atomic,2,29500
GPU reduction,2,27600
CPU,4,100
GPU atomic,4,23500
GPU reduction,4,30000
CPU,8,100
GPU atomic,8,110300
GPU reduction,8,42700
CPU,16,300
GPU atomic,16,23800
GPU reduction,16,45700
CPU,32,200
GPU atomic,32,29700
GPU reduction,32,68500
CPU,64,300
GPU atomic,64,37800
GPU reduction,64,60800
CPU,128,300
GPU atomic,128,34500
GPU reduction,128,65400
CPU,256,700
GPU atomic,256,113600
GPU reduction,256,65000
CPU,512,1300
GPU atomic,512,26000
GPU reduction,512,72200
CPU,1024,2200
GPU atomic,1024,26400
GPU reduction,1024,79600
CPU,2048,3400
GPU atomic,2048,27900
GPU reduction,2048,78900
CPU,2,200
GPU atomic,2,23000
GPU reduction,2,33500
CPU,4,100
GPU atomic,4,23900
GPU reduction,4,36200
CPU,8,300
GPU atomic,8,22500
GPU reduction,8,49400
CPU,16,200
GPU atomic,16,40700
GPU reduction,16,49700
CPU,32,300
GPU atomic,32,37900
GPU reduction,32,49700
CPU,64,400
GPU atomic,64,30600
GPU reduction,64,59300
CPU,128,500
GPU atomic,128,27300
GPU reduction,128,59100
